TEST: valid loss  4.45 | valid ppl    85.46
TEST: valid loss  3.71 | valid ppl    41.00
| end of split   1 /  1 | epoch 122 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 123 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 124 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 125 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 126 | time:  0.59s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 127 | time:  0.58s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 128 | time:  0.57s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 129 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 130 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 131 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 132 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 133 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 134 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 135 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 136 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 137 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 138 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 139 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 140 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 141 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 142 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 143 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 144 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 145 | time:  0.60s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 146 | time:  0.54s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 147 | time:  0.63s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 148 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 149 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 150 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 151 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 152 | time:  0.62s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
